"Espoon väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"049 Espoo","Kaikki äidinkielet","Väestö yhteensä",260753,265543,269802,274583,279044,283632,289731,292796
"049 Espoo","Suomi ja saame","Väestö yhteensä",208529,210088,211261,212800,214312,215548,217502,217202
"049 Espoo","Ruotsi","Väestö yhteensä",20275,20261,20216,20131,20077,19999,20033,19970
"049 Espoo","Muu kieli","Väestö yhteensä",31949,35194,38325,41652,44655,48085,52196,55624
"049 1 Suur-Leppävaara","Kaikki äidinkielet","Väestö yhteensä",64314,65824,66927,67814,68421,69505,71628,72701
"049 1 Suur-Leppävaara","Suomi ja saame","Väestö yhteensä",52252,52860,53125,53196,53276,53415,54373,54618
"049 1 Suur-Leppävaara","Ruotsi","Väestö yhteensä",3746,3717,3749,3713,3628,3638,3685,3661
"049 1 Suur-Leppävaara","Muu kieli","Väestö yhteensä",8316,9247,10053,10905,11517,12452,13570,14422
"049 11 Kanta-Leppävaara","Kaikki äidinkielet","Väestö yhteensä",28448,29285,29885,30678,31175,32095,34043,35062
"049 11 Kanta-Leppävaara","Suomi ja saame","Väestö yhteensä",23103,23433,23673,23988,24189,24690,25833,26271
"049 11 Kanta-Leppävaara","Ruotsi","Väestö yhteensä",1024,1017,1015,1026,1014,1033,1091,1090
"049 11 Kanta-Leppävaara","Muu kieli","Väestö yhteensä",4321,4835,5197,5664,5972,6372,7119,7701
"049 111 Pohjois-Leppävaara","Kaikki äidinkielet","Väestö yhteensä",6326,6358,6516,6569,6576,6537,6693,6596
"049 111 Pohjois-Leppävaara","Suomi ja saame","Väestö yhteensä",4838,4813,4881,4843,4831,4735,4791,4685
"049 111 Pohjois-Leppävaara","Ruotsi","Väestö yhteensä",241,227,222,227,227,226,214,203
"049 111 Pohjois-Leppävaara","Muu kieli","Väestö yhteensä",1247,1318,1413,1499,1518,1576,1688,1708
"049 112 Etelä-Leppävaara","Kaikki äidinkielet","Väestö yhteensä",6680,6851,6884,7067,7214,7308,7321,7179
"049 112 Etelä-Leppävaara","Suomi ja saame","Väestö yhteensä",5507,5527,5482,5562,5623,5624,5511,5338
"049 112 Etelä-Leppävaara","Ruotsi","Väestö yhteensä",186,190,189,196,197,190,202,203
"049 112 Etelä-Leppävaara","Muu kieli","Väestö yhteensä",987,1134,1213,1309,1394,1494,1608,1638
"049 113 Mäkkylä","Kaikki äidinkielet","Väestö yhteensä",3936,4074,4146,4273,4419,4506,4499,4458
"049 113 Mäkkylä","Suomi ja saame","Väestö yhteensä",3289,3349,3380,3486,3587,3654,3615,3548
"049 113 Mäkkylä","Ruotsi","Väestö yhteensä",186,206,206,205,197,208,201,188
"049 113 Mäkkylä","Muu kieli","Väestö yhteensä",461,519,560,582,635,644,683,722
"049 114 Lintukorpi","Kaikki äidinkielet","Väestö yhteensä",3129,3105,3110,3157,3149,3163,3153,3150
"049 114 Lintukorpi","Suomi ja saame","Väestö yhteensä",2625,2538,2511,2504,2407,2380,2354,2360
"049 114 Lintukorpi","Ruotsi","Väestö yhteensä",102,100,98,97,107,95,87,91
"049 114 Lintukorpi","Muu kieli","Väestö yhteensä",402,467,501,556,635,688,712,699
"049 115 Lintulaakso","Kaikki äidinkielet","Väestö yhteensä",1087,1157,1167,1146,1117,1094,1102,1097
"049 115 Lintulaakso","Suomi ja saame","Väestö yhteensä",969,1013,1023,1004,993,979,994,986
"049 115 Lintulaakso","Ruotsi","Väestö yhteensä",52,52,50,48,43,42,42,44
"049 115 Lintulaakso","Muu kieli","Väestö yhteensä",66,92,94,94,81,73,66,67
"049 116 Uusmäki","Kaikki äidinkielet","Väestö yhteensä",1108,1394,1699,2024,2228,2389,2761,2898
"049 116 Uusmäki","Suomi ja saame","Väestö yhteensä",958,1232,1485,1775,1934,2048,2329,2403
"049 116 Uusmäki","Ruotsi","Väestö yhteensä",63,67,80,80,89,102,113,122
"049 116 Uusmäki","Muu kieli","Väestö yhteensä",87,95,134,169,205,239,319,373
"049 117 Lintumetsä","Kaikki äidinkielet","Väestö yhteensä",2451,2534,2592,2606,2662,2660,2765,2832
