"Helsingin väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"091 Helsinki","Kaikki äidinkielet","Väestö yhteensä",612664,620715,628208,635181,643272,648042,653835,656920
"091 Helsinki","Suomi ja saame","Väestö yhteensä",498351,501321,504072,505770,508642,509684,511111,510912
"091 Helsinki","Ruotsi","Väestö yhteensä",35844,35845,36004,36197,36361,36533,36665,36754
"091 Helsinki","Muu kieli","Väestö yhteensä",78469,83549,88132,93214,98269,101825,106059,109254
"091 1 Eteläinen suurpiiri","Kaikki äidinkielet","Väestö yhteensä",106201,108210,110124,112675,116443,117983,119515,121294
"091 1 Eteläinen suurpiiri","Suomi ja saame","Väestö yhteensä",84973,86548,87927,89691,92543,93571,94370,95391
"091 1 Eteläinen suurpiiri","Ruotsi","Väestö yhteensä",12856,12883,13023,13297,13493,13633,13778,13919
"091 1 Eteläinen suurpiiri","Muu kieli","Väestö yhteensä",8372,8779,9174,9687,10407,10779,11367,11984
"091 101 Vironniemen peruspiiri","Kaikki äidinkielet","Väestö yhteensä",12218,12269,12482,12504,12629,12698,12957,12915
"091 101 Vironniemen peruspiiri","Suomi ja saame","Väestö yhteensä",10212,10266,10392,10391,10471,10484,10704,10592
"091 101 Vironniemen peruspiiri","Ruotsi","Väestö yhteensä",1169,1158,1198,1192,1184,1231,1219,1232
"091 101 Vironniemen peruspiiri","Muu kieli","Väestö yhteensä",837,845,892,921,974,983,1034,1091
"091 10 Kruununhaka","Kaikki äidinkielet","Väestö yhteensä",7202,7202,7376,7414,7447,7481,7473,7221
"091 10 Kruununhaka","Suomi ja saame","Väestö yhteensä",6007,6031,6143,6160,6174,6150,6152,5914
"091 10 Kruununhaka","Ruotsi","Väestö yhteensä",761,745,759,752,745,780,765,748
"091 10 Kruununhaka","Muu kieli","Väestö yhteensä",434,426,474,502,528,551,556,559
"091 20 Kluuvi","Kaikki äidinkielet","Väestö yhteensä",562,621,636,642,641,640,652,699
"091 20 Kluuvi","Suomi ja saame","Väestö yhteensä",458,521,542,543,539,547,544,572
"091 20 Kluuvi","Ruotsi","Väestö yhteensä",39,38,31,27,24,27,29,36
"091 20 Kluuvi","Muu kieli","Väestö yhteensä",65,62,63,72,78,66,79,91
"091 80 Katajanokka","Kaikki äidinkielet","Väestö yhteensä",4454,4446,4470,4448,4541,4577,4832,4995
