"Vantaan väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"092 Vantaa","Kaikki äidinkielet","Väestö yhteensä",208098,210803,214605,219341,223027,228166,233775,237231
"092 Vantaa","Suomi ja saame","Väestö yhteensä",174861,174837,175844,177263,178045,179478,180924,180492
"092 Vantaa","Ruotsi","Väestö yhteensä",5722,5704,5676,5631,5594,5559,5575,5579
"092 Vantaa","Muu kieli","Väestö yhteensä",27515,30262,33085,36447,39388,43129,47276,51160
"092 1 Myyrmäen suuralue","Kaikki äidinkielet","Väestö yhteensä",52267,52951,53902,55027,55865,56745,57700,58380
"092 1 Myyrmäen suuralue","Suomi ja saame","Väestö yhteensä",44036,43777,43897,44113,44156,44274,44234,43917
"092 1 Myyrmäen suuralue","Ruotsi","Väestö yhteensä",1647,1653,1672,1641,1635,1602,1568,1573
"092 1 Myyrmäen suuralue","Muu kieli","Väestö yhteensä",6584,7521,8333,9273,10074,10869,11898,12890
"092 10 Linnainen","Kaikki äidinkielet","Väestö yhteensä",813,795,791,786,776,771,748,751
"092 10 Linnainen","Suomi ja saame","Väestö yhteensä",777,756,747,744,739,728,701,696
"092 10 Linnainen","Ruotsi","Väestö yhteensä",17,17,18,18,15,15,16,18
"092 10 Linnainen","Muu kieli","Väestö yhteensä",19,22,26,24,22,28,31,37
"092 11 Hämevaara","Kaikki äidinkielet","Väestö yhteensä",1327,1343,1604,1629,1601,1643,1641,1643
"092 11 Hämevaara","Suomi ja saame","Väestö yhteensä",1244,1244,1448,1462,1433,1451,1446,1442
"092 11 Hämevaara","Ruotsi","Väestö yhteensä",24,26,28,29,28,35,38,38
"092 11 Hämevaara","Muu kieli","Väestö yhteensä",59,73,128,138,140,157,157,163
"092 12 Hämeenkylä","Kaikki äidinkielet","Väestö yhteensä",7418,7587,8066,8086,8111,8137,8250,8433
"092 12 Hämeenkylä","Suomi ja saame","Väestö yhteensä",6431,6499,6767,6706,6711,6676,6698,6751
"092 12 Hämeenkylä","Ruotsi","Väestö yhteensä",195,201,209,196,193,180,159,165
"092 12 Hämeenkylä","Muu kieli","Väestö yhteensä",792,887,1090,1184,1207,1281,1393,1517
"092 13 Vapaala","Kaikki äidinkielet","Väestö yhteensä",3922,3948,3914,3981,4036,4001,4015,3993
"092 13 Vapaala","Suomi ja saame","Väestö yhteensä",3479,3460,3413,3423,3423,3386,3348,3315
"092 13 Vapaala","Ruotsi","Väestö yhteensä",141,154,156,150,145,142,143,138
"092 13 Vapaala","Muu kieli","Väestö yhteensä",302,334,345,408,468,473,524,540
