from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5934906;364;25503;133;114;26922;43;25884
5785641;5934906;327;22886;139;117;27128;43;26201
5785642;5934906;328;22966;139;118;27245;45;26385
5785643;5934906;332;23259;149;123;30322;51;28942
5787544;5934906;357;25014;127;107;26433;50;26602
5787545;5934906;358;25083;127;108;26502;50;26592
5787546;5934906;-1;-1;-1;-1;-1;43;25412
5787547;5934906;325;22773;149;124;30410;42;25803
5787548;5934906;322;22548;139;120;27354;40;25924
5787549;5934906;324;22682;149;124;30430;42;26167
5787550;5934906;361;25263;193;181;32231;48;28741
5789447;5934906;318;22247;82;67;23666;45;26210
5789448;5934906;318;22245;87;68;23687;45;25943
5789449;5934906;-1;-1;-1;-1;-1;45;26186
5789450;5934906;-1;-1;-1;-1;-1;49;26505
5789451;5934906;-1;-1;-1;-1;-1;44;25419
5789452;5934906;317;22209;139;117;24135;42;25311
5789453;5934906;318;22245;139;118;24171;40;25488
5789454;5934906;319;22332;139;119;24258;40;25752
5789455;5934906;322;22508;139;121;24435;42;25972
5789456;5934906;359;25104;190;178;32071;46;28651
5791353;5934906;323;22607;92;73;24026;45;26500
5791354;5934906;320;22375;87;69;23794;44;26197
5791355;5934906;313;21898;82;64;23455;43;25757
5791356;5934906;314;21959;87;69;23803;45;25910
5791357;5934906;-1;-1;-1;-1;-1;49;26496
5791358;5934906;-1;-1;-1;-1;-1;42;24805
5791359;5934906;313;21900;134;113;23826;40;25129
5791360;5934906;314;21955;134;113;23881;42;25497
5791361;5934906;319;22308;139;119;24235;43;25851
5791362;5934906;323;22619;149;125;27414;45;26159
5791363;5934906;359;25099;190;178;32066;48;28547
5793258;5934906;328;22992;100;78;24412;45;26846
5793259;5934906;324;22693;96;74;24112;47;26710
5793260;5934906;325;22726;96;74;24145;46;26123
5793261;5934906;311;21771;87;68;23591;43;25633
5793262;5934906;310;21666;87;68;23589;45;25732
5793263;5934906;-1;-1;-1;-1;-1;48;25638
5793264;5934906;-1;-1;-1;-1;-1;42;24750
5793265;5934906;310;21685;127;110;23612;40;25082
5793266;5934906;310;21694;127;110;23620;43;25279
5793267;5934906;-1;-1;-1;-1;-1;47;26074
5793268;5934906;-1;-1;-1;-1;-1;47;26300
5793269;5934906;-1;-1;-1;-1;-1;44;25113
5793270;5934906;354;24784;187;174;31751;47;28002
5795164;5934906;330;23068;100;79;24487;47;26994
5795165;5934906;331;23149;100;80;24569;45;25661
5795166;5934906;-1;-1;-1;-1;-1;45;25510
5795167;5934906;306;21445;87;69;22889;43;25131
5795168;5934906;306;21446;87;69;22890;43;25219
5795169;5934906;308;21526;92;70;22984;46;25442
5795170;5934906;305;21375;127;107;23387;40;24488
5795171;5934906;304;21294;127;106;23306;41;24789
5795172;5934906;309;21629;127;109;23555;43;25232
5795173;5934906;-1;-1;-1;-1;-1;44;25323
5795174;5934906;310;21667;127;109;23593;42;24957
5795175;5934906;309;21604;127;108;23530;43;25093
5795176;5934906;355;24820;188;174;31787;40;24617
5797069;5934906;315;22026;96;81;25013;26;22759
5797070;5934906;332;23265;108;82;24685;47;27273
5797071;5934906;334;23382;112;84;24801;43;25563
5797072;5934906;-1;-1;-1;-1;-1;43;25280
5797073;5934906;304;21251;82;66;22696;43;25364
5797074;5934906;302;21134;82;65;22592;42;24990
5797075;5934906;305;21342;82;68;22800;44;25323
5797076;5934906;301;21058;127;103;23071;40;24435
5797077;5934906;303;21185;127;105;23197;44;24868
5797078;5934906;-1;-1;-1;-1;-1;45;25405
5797079;5934906;-1;-1;-1;-1;-1;43;25242
5797080;5934906;307;21470;127;109;23482;39;24452
5797081;5934906;307;21456;127;109;23468;43;25072
5797082;5934906;304;21250;149;124;25691;40;24604
5798974;5934906;295;20653;80;61;23641;-1;-1
5798975;5934906;338;23626;112;87;25046;48;27620
5798976;5934906;337;23621;112;87;25040;50;27508
5798977;5934906;-1;-1;-1;-1;-1;44;25603
5798978;5934906;-1;-1;-1;-1;-1;42;25074
5798979;5934906;298;20890;82;65;22343;43;25433
5798980;5934906;298;20890;82;65;22342;43;24808
5798981;5934906;302;21161;87;69;22614;45;25196
5798982;5934906;298;20890;122;100;22902;39;24296
5798983;5934906;297;20765;117;99;22777;42;24236
