municipal,district,name_population,Year,all,finnish_sami,other,swedish,5874358,5878088,5911249,5934892,5934906,5952975,5958354,5961860,5961890,5961894,5968821,5975374,5978639,5980222,5980260,name_district
49,111,Pohjois-Leppävaara,2013,6326.0,4838.0,1247.0,241.0,22,26,28,0,11,14,35,14,30,32,29,21,29,30,34,Pohjois-Leppävaara
49,111,Pohjois-Leppävaara,2014,6358.0,4813.0,1318.0,227.0,,,,,,,,,,,,,,,,
49,111,Pohjois-Leppävaara,2015,6516.0,4881.0,1413.0,222.0,21,25,23,0,13,12,33,14,29,31,28,20,28,29,31,Pohjois-Leppävaara
49,111,Pohjois-Leppävaara,2016,6569.0,4843.0,1499.0,227.0,,,,,,,,,,,,,,,,
49,111,Pohjois-Leppävaara,2017,6576.0,4831.0,1518.0,227.0,,,,,,,,,,,,,,,,
49,111,Pohjois-Leppävaara,2018,6537.0,4735.0,1576.0,226.0,40,28,22,0,11,12,38,19,29,33,31,20,28,32,27,Pohjois-Leppävaara
49,111,Pohjois-Leppävaara,2019,6693.0,4791.0,1688.0,214.0,,,,,,,,,,,,,,,,
49,111,Pohjois-Leppävaara,2020,6596.0,4685.0,1708.0,203.0,,,,,,,,,,,,,,,,
49,112,Etelä-Leppävaara,2013,6680.0,5507.0,987.0,186.0,22,26,28,0,11,14,35,12,30,32,29,21,29,29,31,Etelä-Leppävaara
49,112,Etelä-Leppävaara,2014,6851.0,5527.0,1134.0,190.0,,,,,,,,,,,,,,,,
49,112,Etelä-Leppävaara,2015,6884.0,5482.0,1213.0,189.0,21,25,23,0,12,12,33,13,29,31,28,20,28,27,31,Etelä-Leppävaara
49,112,Etelä-Leppävaara,2016,7067.0,5562.0,1309.0,196.0,,,,,,,,,,,,,,,,
49,112,Etelä-Leppävaara,2017,7214.0,5623.0,1394.0,197.0,,,,,,,,,,,,,,,,
49,112,Etelä-Leppävaara,2018,7308.0,5624.0,1494.0,190.0,40,28,22,0,11,12,38,17,29,33,31,20,28,31,27,Etelä-Leppävaara
49,112,Etelä-Leppävaara,2019,7321.0,5511.0,1608.0,202.0,,,,,,,,,,,,,,,,
49,112,Etelä-Leppävaara,2020,7179.0,5338.0,1638.0,203.0,,,,,,,,,,,,,,,,
49,113,Mäkkylä,2013,3936.0,3289.0,461.0,186.0,22,30,30,4,9,16,35,14,30,36,32,24,32,36,34,Mäkkylä
49,113,Mäkkylä,2014,4074.0,3349.0,519.0,206.0,,,,,,,,,,,,,,,,
49,113,Mäkkylä,2015,4146.0,3380.0,560.0,206.0,21,30,28,6,10,17,37,14,33,35,32,24,33,32,34,Mäkkylä
49,113,Mäkkylä,2016,4273.0,3486.0,582.0,205.0,,,,,,,,,,,,,,,,
49,113,Mäkkylä,2017,4419.0,3587.0,635.0,197.0,,,,,,,,,,,,,,,,
49,113,Mäkkylä,2018,4506.0,3654.0,644.0,208.0,44,29,27,6,10,17,40,19,34,36,33,24,33,34,32,Mäkkylä
49,113,Mäkkylä,2019,4499.0,3615.0,683.0,201.0,,,,,,,,,,,,,,,,
49,113,Mäkkylä,2020,4458.0,3548.0,722.0,188.0,,,,,,,,,,,,,,,,
49,114,Lintukorpi,2013,3129.0,2625.0,402.0,102.0,42,40,40,9,21,28,47,18,42,46,43,35,43,37,40,Lintukorpi
49,114,Lintukorpi,2014,3105.0,2538.0,467.0,100.0,,,,,,,,,,,,,,,,
49,114,Lintukorpi,2015,3110.0,2511.0,501.0,98.0,40,38,36,9,20,25,46,17,42,44,41,33,41,40,39,Lintukorpi
49,114,Lintukorpi,2016,3157.0,2504.0,556.0,97.0,,,,,,,,,,,,,,,,
49,114,Lintukorpi,2017,3149.0,2407.0,635.0,107.0,,,,,,,,,,,,,,,,
49,114,Lintukorpi,2018,3163.0,2380.0,688.0,95.0,58,44,38,9,26,28,51,22,44,46,44,36,44,40,36,Lintukorpi
49,114,Lintukorpi,2019,3153.0,2354.0,712.0,87.0,,,,,,,,,,,,,,,,
49,114,Lintukorpi,2020,3150.0,2360.0,699.0,91.0,,,,,,,,,,,,,,,,
49,115,Lintulaakso,2013,1087.0,969.0,66.0,52.0,24,42,30,4,19,27,45,21,39,46,40,32,41,41,42,Lintulaakso
49,115,Lintulaakso,2014,1157.0,1013.0,92.0,52.0,,,,,,,,,,,,,,,,
49,115,Lintulaakso,2015,1167.0,1023.0,94.0,50.0,25,42,37,9,22,29,47,21,36,42,40,36,44,35,43,Lintulaakso
49,115,Lintulaakso,2016,1146.0,1004.0,94.0,48.0,,,,,,,,,,,,,,,,
49,115,Lintulaakso,2017,1117.0,993.0,81.0,43.0,,,,,,,,,,,,,,,,
49,115,Lintulaakso,2018,1094.0,979.0,73.0,42.0,49,39,30,8,22,27,49,26,38,44,40,35,43,42,40,Lintulaakso
49,115,Lintulaakso,2019,1102.0,994.0,66.0,42.0,,,,,,,,,,,,,,,,
49,115,Lintulaakso,2020,1097.0,986.0,67.0,44.0,,,,,,,,,,,,,,,,
49,116,Uusmäki,2013,1108.0,958.0,87.0,63.0,30,44,35,15,15,27,43,28,39,43,41,32,40,47,41,Uusmäki
49,116,Uusmäki,2014,1394.0,1232.0,95.0,67.0,,,,,,,,,,,,,,,,
49,116,Uusmäki,2015,1699.0,1485.0,134.0,80.0,31,40,37,15,17,27,46,26,42,44,41,32,40,41,44,Uusmäki
49,116,Uusmäki,2016,2024.0,1775.0,169.0,80.0,,,,,,,,,,,,,,,,
49,116,Uusmäki,2017,2228.0,1934.0,205.0,89.0,,,,,,,,,,,,,,,,
49,116,Uusmäki,2018,2389.0,2048.0,239.0,102.0,47,41,39,14,16,28,50,31,43,45,41,33,41,48,43,Uusmäki
49,116,Uusmäki,2019,2761.0,2329.0,319.0,113.0,,,,,,,,,,,,,,,,
49,116,Uusmäki,2020,2898.0,2403.0,373.0,122.0,,,,,,,,,,,,,,,,
49,117,Lintumetsä,2013,2451.0,2096.0,282.0,73.0,42,45,39,14,20,32,50,23,45,51,46,37,45,47,45,Lintumetsä
49,117,Lintumetsä,2014,2534.0,2152.0,318.0,64.0,,,,,,,,,,,,,,,,
49,117,Lintumetsä,2015,2592.0,2181.0,349.0,62.0,44,42,40,12,22,29,50,21,46,48,45,37,45,44,43,Lintumetsä
49,117,Lintumetsä,2016,2606.0,2146.0,390.0,70.0,,,,,,,,,,,,,,,,
49,117,Lintumetsä,2017,2662.0,2186.0,411.0,65.0,,,,,,,,,,,,,,,,
49,117,Lintumetsä,2018,2660.0,2198.0,394.0,68.0,51,47,45,13,22,35,55,26,48,50,47,39,47,44,40,Lintumetsä
49,117,Lintumetsä,2019,2765.0,2269.0,423.0,73.0,,,,,,,,,,,,,,,,
49,117,Lintumetsä,2020,2832.0,2293.0,463.0,76.0,,,,,,,,,,,,,,,,
49,118,Perkkaa,2013,3731.0,2821.0,789.0,121.0,22,30,30,6,9,16,35,12,30,36,31,23,32,32,31,Perkkaa
