OID_;Join_Count;TARGET_FID;municipal;district;name;pt_m_tt_2013_5874358;pt_m_t_2013_5874358;pt_m_d_2013_5874358;pt_m_tt_2013_5878088;pt_m_t_2013_5878088;pt_m_d_2013_5878088;pt_m_tt_2013_5911249;pt_m_t_2013_5911249;pt_m_d_2013_5911249;pt_m_tt_2013_5934892;pt_m_t_2013_5934892;pt_m_d_2013_5934892;pt_m_tt_2013_5934906;pt_m_t_2013_5934906;pt_m_d_2013_5934906;pt_m_tt_2013_5952975;pt_m_t_2013_5952975;pt_m_d_2013_5952975;pt_m_tt_2013_5958354;pt_m_t_2013_5958354;pt_m_d_2013_5958354;pt_m_tt_2013_5961860;pt_m_t_2013_5961860;pt_m_d_2013_5961860;pt_m_tt_2013_5961890;pt_m_t_2013_5961890;pt_m_d_2013_5961890;pt_m_tt_2013_5961894;pt_m_t_2013_5961894;pt_m_d_2013_5961894;pt_m_tt_2013_5968821;pt_m_t_2013_5968821;pt_m_d_2013_5968821;pt_m_tt_2013_5975374;pt_m_t_2013_5975374;pt_m_d_2013_5975374;pt_m_tt_2013_5978639;pt_m_t_2013_5978639;pt_m_d_2013_5978639;pt_m_tt_2013_5980222;pt_m_t_2013_5980222;pt_m_d_2013_5980222;pt_m_tt_2013_5980260;pt_m_t_2013_5980260;pt_m_d_2013_5980260;pt_m_tt_2015_5874358;pt_m_t_2015_5874358;pt_m_d_2015_5874358;pt_m_tt_2015_5878088;pt_m_t_2015_5878088;pt_m_d_2015_5878088;pt_m_tt_2015_5911249;pt_m_t_2015_5911249;pt_m_d_2015_5911249;pt_m_tt_2015_5934892;pt_m_t_2015_5934892;pt_m_d_2015_5934892;pt_m_tt_2015_5934906;pt_m_t_2015_5934906;pt_m_d_2015_5934906;pt_m_tt_2015_5952975;pt_m_t_2015_5952975;pt_m_d_2015_5952975;pt_m_tt_2015_5958354;pt_m_t_2015_5958354;pt_m_d_2015_5958354;pt_m_tt_2015_5961860;pt_m_t_2015_5961860;pt_m_d_2015_5961860;pt_m_tt_2015_5961890;pt_m_t_2015_5961890;pt_m_d_2015_5961890;pt_m_tt_2015_5961894;pt_m_t_2015_5961894;pt_m_d_2015_5961894;pt_m_tt_2015_5968821;pt_m_t_2015_5968821;pt_m_d_2015_5968821;pt_m_tt_2015_5975374;pt_m_t_2015_5975374;pt_m_d_2015_5975374;pt_m_tt_2015_5978639;pt_m_t_2015_5978639;pt_m_d_2015_5978639;pt_m_tt_2015_5980222;pt_m_t_2015_5980222;pt_m_d_2015_5980222;pt_m_tt_2015_5980260;pt_m_t_2015_5980260;pt_m_d_2015_5980260;pt_m_tt_2018_5874358;pt_m_t_2018_5874358;pt_m_d_2018_5874358;pt_m_tt_2018_5878088;pt_m_t_2018_5878088;pt_m_d_2018_5878088;pt_m_tt_2018_5911249;pt_m_t_2018_5911249;pt_m_d_2018_5911249;pt_m_tt_2018_5934892;pt_m_t_2018_5934892;pt_m_d_2018_5934892;pt_m_tt_2018_5934906;pt_m_t_2018_5934906;pt_m_d_2018_5934906;pt_m_tt_2018_5952975;pt_m_t_2018_5952975;pt_m_d_2018_5952975;pt_m_tt_2018_5958354;pt_m_t_2018_5958354;pt_m_d_2018_5958354;pt_m_tt_2018_5961860;pt_m_t_2018_5961860;pt_m_d_2018_5961860;pt_m_tt_2018_5961890;pt_m_t_2018_5961890;pt_m_d_2018_5961890;pt_m_tt_2018_5961894;pt_m_t_2018_5961894;pt_m_d_2018_5961894;pt_m_tt_2018_5968821;pt_m_t_2018_5968821;pt_m_d_2018_5968821;pt_m_tt_2018_5975374;pt_m_t_2018_5975374;pt_m_d_2018_5975374;pt_m_tt_2018_5978639;pt_m_t_2018_5978639;pt_m_d_2018_5978639;pt_m_tt_2018_5980222;pt_m_t_2018_5980222;pt_m_d_2018_5980222;pt_m_tt_2018_5980260;pt_m_t_2018_5980260;pt_m_d_2018_5980260;Shape_Length;Shape_Area
1;38;0;091;392;Tapanila;28;19;6153;15;11;3132;7;6;521;37;29;14696;39;29;12115;22;16;8143;42;35;11075;54;44;15952;37;29;9832;39;31;9672;36;30;10758;28;23;11382;35;29;11847;61;54;23455;39;33;13251;44;27;6432;15;11;3093;7;5;521;38;28;15444;37;27;12348;21;16;8015;42;37;11470;53;45;15958;37;33;9868;40;34;9986;38;32;11514;30;25;11226;37;33;11762;62;55;23368;40;35;13144;41;29;6362;13;7;2991;7;5;521;38;29;13965;43;33;12200;22;17;8015;43;38;11082;52;46;18576;37;29;10068;42;33;9956;39;31;10896;31;26;11226;38;34;11762;60;53;25220;40;35;13107;5509,183583917191754;1474892,530543446075171
2;56;1;091;385;Malmin lentokenttä;38;26;6728;15;11;3623;11;6;1331;37;29;14495;39;29;12742;22;16;8875;36;30;9171;54;44;16683;30;23;8949;35;26;8831;34;27;10058;28;23;11807;35;29;12257;61;51;23366;39;33;13105;46;33;6950;15;11;3530;11;6;1672;39;29;13164;37;27;12316;22;16;8747;35;30;9164;53;45;16802;34;27;8949;38;30;8910;37;31;10059;31;25;11128;38;33;11593;63;55;22885;41;35;13105;42;27;9076;13;7;3519;12;7;1332;40;29;13416;41;32;12279;23;17;8895;34;29;9214;53;46;19638;34;27;8949;37;31;8981;37;31;9966;32;26;11318;39;34;11583;62;53;25181;41;35;13068;6824,348626624848293;2260557,789289970882237
3;13;2;091;121;Harju;35;27;13217;37;28;13821;29;23;9016;29;23;9150;33;25;5930;14;10;1537;12;9;4481;35;27;8175;0;0;0;8;6;1228;9;7;997;11;8;2241;18;16;2658;36;32;14374;14;12;4012;44;38;13045;36;27;13722;29;24;8847;33;25;9385;35;24;5806;14;10;1590;12;10;4430;35;28;8166;0;0;0;8;6;1228;8;6;908;11;8;2233;18;16;2729;37;34;14382;14;12;3804;44;26;13249;35;27;13445;30;27;9038;34;27;8922;35;28;5678;14;11;1525;12;9;4430;25;24;10594;0;0;0;7;5;1228;9;7;1104;11;9;2233;18;17;2729;33;29;16138;14;11;3800;3124,551952737679585;300661,124630434846040
4;19;3;091;122;Alppila;38;32;12780;29;17;12664;21;16;7935;22;14;8021;25;15;4801;5;5;347;15;9;4920;35;23;7366;9;7;716;18;14;1911;12;8;1269;17;12;2449;24;18;2905;41;32;14457;23;20;3579;48;44;13045;25;17;12665;17;14;7790;23;14;8020;25;15;4776;5;5;346;17;13;5227;34;25;7367;10;10;680;14;10;2077;12;9;1404;18;15;2342;25;21;2904;47;43;14153;24;21;3577;45;31;12661;22;14;12536;18;14;7790;22;15;8020;25;16;4776;5;5;346;20;18;5174;32;28;7143;10;10;680;17;14;1900;13;9;1353;18;15;2903;25;22;3133;41;39;12971;22;20;3572;3244,744365896211093;609952,978310192003846
5;36;4;091;130;Etu-Töölö;48;40;15176;34;25;15283;29;24;10865;27;21;8784;24;22;6097;19;14;3147;19;11;6837;25;19;6770;12;8;2853;15;12;3828;11;9;2003;6;4;418;14;9;1301;24;21;11014;10;7;990;57;39;16326;32;25;15454;27;23;10578;28;21;8637;27;22;6188;19;12;3186;20;17;7147;24;19;6770;13;11;2887;15;13;3945;12;10;2004;6;4;418;13;9;1301;25;22;11101;10;7;990;50;37;14849;28;22;15290;27;22;10667;27;21;8774;27;22;5901;18;12;3155;19;16;7147;19;19;6618;12;11;2557;14;12;3945;12;10;2004;6;4;418;13;9;1114;26;24;13185;7;6;990;8438,767340310065265;2344988,310978205874562
6;58;5;091;411;Puistola;26;11;5022;12;7;943;11;6;2179;37;29;17156;39;29;13936;22;16;9708;42;35;13117;54;44;17516;36;29;11850;39;31;11693;36;30;13188;28;23;12947;35;29;13411;61;54;25019;39;33;14816;37;13;5214;10;7;940;8;6;2141;34;25;17118;37;27;13875;18;15;9689;39;36;13537;51;45;17484;34;31;12080;37;34;12041;34;31;13190;27;24;12900;34;32;13437;59;56;24945;37;34;14818;36;12;5143;7;3;932;8;6;2141;34;29;15982;39;30;13875;19;16;9689;43;40;13037;48;45;21144;36;30;12635;39;35;12716;37;33;13463;27;25;12900;35;33;13437;57;52;26894;36;34;14782;8029,058312207831477;2435761,961995823774487
7;48;6;091;140;Taka-Töölö;41;35;13265;30;21;13372;25;19;8653;26;19;7544;24;20;4831;11;8;1235;20;11;5769;29;19;6243;14;8;1785;21;16;2760;16;11;1532;7;5;1147;14;11;1824;34;30;12003;17;13;2148;52;39;13912;31;22;13419;24;19;8427;29;21;7409;26;21;4902;11;7;1150;25;21;5967;28;20;6243;15;10;1650;22;18;2817;17;12;1666;7;5;1153;14;11;1850;35;33;12090;17;13;2147;48;34;13128;27;21;13030;25;21;8284;29;22;7535;25;21;4902;9;7;1204;26;22;5960;29;23;6091;13;11;1668;21;18;2758;16;12;1666;8;5;1153;16;12;1850;38;33;12616;17;13;2142;6264,031348582700957;2334122,969338493421674
8;43;7;091;150;Meilahti;45;37;14611;36;28;14373;32;25;9644;27;19;5976;18;15;3415;19;13;2236;31;25;7373;18;12;3603;26;21;3580;28;24;6117;24;15;3137;14;12;2584;22;18;3261;41;35;10286;24;20;3929;52;35;16829;35;29;14403;30;26;9278;26;19;5841;20;16;3524;17;14;2001;30;26;7975;20;12;3604;25;22;3854;26;23;4826;24;17;3303;14;13;2578;21;18;3274;41;34;9740;24;21;3934;50;34;14510;36;27;14454;31;27;9459;27;20;5967;20;15;3524;15;13;2240;34;30;8605;19;14;3452;25;23;3647;29;26;6440;25;19;3361;15;13;2578;23;19;3274;35;27;9280;24;20;3857;8449,075827726679563;3423494,871915464755148
9;31;8;091;171;Länsi-Pasila;38;32;12090;30;19;12792;23;18;8063;21;15;5944;19;10;3472;8;5;688;23;17;6574;29;20;7012;18;13;2384;27;22;3583;20;17;2543;18;13;3000;26;21;3688;45;41;14646;29;25;4645;48;39;11776;27;19;12794;19;16;7919;21;16;6066;19;10;3389;9;7;704;25;19;6645;30;21;6701;20;15;2618;22;16;3496;22;17;2752;17;12;2983;25;21;3671;45;41;14660;27;23;4592;45;31;11943;23;16;12665;19;16;7919;21;16;6066;20;10;3389;8;5;704;28;23;6875;29;23;6788;21;16;2543;28;24;3275;22;17;2752;19;16;3455;27;24;3736;44;37;12377;28;23;4515;5954,222443919124999;1119978,400952183874324
10;46;9;091;172;Pohjois-Pasila;26;20;9631;26;21;10532;17;13;5419;21;15;5740;19;10;2482;11;8;1050;29;24;7192;41;32;9168;20;19;2985;27;19;4710;23;21;3935;19;16;4293;27;24;4757;52;47;16365;30;27;6162;38;31;10022;27;21;10529;18;13;5418;21;16;5861;19;10;2840;13;8;1046;30;26;7242;37;32;8545;20;19;3337;29;22;4093;24;23;4617;21;16;4275;29;24;4739;54;46;16351;31;27;6144;35;18;9483;23;18;10427;17;13;5418;21;16;5861;20;10;3389;11;8;1046;32;26;7681;39;33;8072;21;17;3337;28;21;4715;24;20;4419;19;16;4275;27;24;4739;48;42;18221;28;24;6108;5750,688068296533856;1822626,175836910726503
